# x y z exact_flux predicted_flux abs_error
4.8772580504032069e-02 4.8036798991923880e-03 4.9759236333609846e-01 -2.6450024105825039e-02 -2.6450024105825039e-02 0.0000000000000000e+00
4.6898277587240376e-02 1.4226436972985921e-02 4.9759236333609846e-01 -7.8901771713950269e-02 -7.8901771713950269e-02 0.0000000000000000e+00
4.3221700163628113e-02 2.3102480052185379e-02 4.9759236333609846e-01 -1.2897833204577411e-01 -1.2897833204577414e-01 2.7755575615628914e-17
3.7884137041736328e-02 3.1090707778999430e-02 4.9759236333609846e-01 -1.7457022704769762e-01 -1.7457022704769762e-01 0.0000000000000000e+00
3.1090707778999430e-02 3.7884137041736328e-02 4.9759236333609846e-01 -2.1369982173842691e-01 -2.1369982173842691e-01 0.0000000000000000e+00
2.3102480052185390e-02 4.3221700163628113e-02 4.9759236333609846e-01 -2.4463714170886169e-01 -2.4463714170886172e-01 2.7755575615628914e-17
1.4226436972985921e-02 4.6898277587240383e-02 4.9759236333609846e-01 -2.6600317792239581e-01 -2.6600317792239581e-01 0.0000000000000000e+00
4.8036798991923958e-03 4.8772580504032062e-02 4.9759236333609846e-01 -2.7685030894097318e-01 -2.7685030894097318e-01 0.0000000000000000e+00
1.4444343859530451e-01 1.4226436972985921e-02 4.7847016786610441e-01 -7.7443279661459336e-02 -7.7443279661459336e-02 0.0000000000000000e+00
1.3889255825490054e-01 4.2132596924363677e-02 4.7847016786610441e-01 -2.3495092651580368e-01 -2.3495092651580368e-01 0.0000000000000000e+00
1.2800411479260479e-01 6.8419624804170728e-02 4.7847016786610441e-01 -3.8954146373018939e-01 -3.8954146373018933e-01 5.5511151231257827e-17
1.1219654498436386e-01 9.2077324872921126e-02 4.7847016786610441e-01 -5.3299687772549798e-01 -5.3299687772549798e-01 0.0000000000000000e+00
9.2077324872921126e-02 1.1219654498436386e-01 4.7847016786610441e-01 -6.5728992722786106e-01 -6.5728992722786117e-01 1.1102230246251565e-16
6.8419624804170742e-02 1.2800411479260479e-01 4.7847016786610441e-01 -7.5543717656352616e-01 -7.5543717656352616e-01 0.0000000000000000e+00
4.2132596924363677e-02 1.3889255825490054e-01 4.7847016786610441e-01 -8.2216291550747567e-01 -8.2216291550747578e-01 1.1102230246251565e-16
1.4226436972985946e-02 1.4444343859530448e-01 4.7847016786610441e-01 -8.5427007722849191e-01 -8.5427007722849191e-01 0.0000000000000000e+00
2.3456341634617300e-01 2.3102480052185379e-02 4.4096063217417752e-01 -1.2235026070279197e-01 -1.2235026070279197e-01 0.0000000000000000e+00
2.2554927580066894e-01 6.8419624804170728e-02 4.4096063217417752e-01 -3.7886664389435831e-01 -3.7886664389435826e-01 5.5511151231257827e-17
2.0786740307563631e-01 1.1110744174509944e-01 4.4096063217417752e-01 -6.3797838016709352e-01 -6.3797838016709363e-01 1.1102230246251565e-16
1.8219730262378964e-01 1.4952546200953518e-01 4.4096063217417752e-01 -8.8187415609402364e-01 -8.8187415609402353e-01 1.1102230246251565e-16
1.4952546200953518e-01 1.8219730262378964e-01 4.4096063217417752e-01 -1.0930637305308002e+00 -1.0930637305308002e+00 0.0000000000000000e+00
1.1110744174509948e-01 2.0786740307563628e-01 4.4096063217417752e-01 -1.2570592258484088e+00 -1.2570592258484086e+00 2.2204460492503131e-16
6.8419624804170728e-02 2.2554927580066897e-01 4.4096063217417752e-01 -1.3641379759797019e+00 -1.3641379759797017e+00 2.2204460492503131e-16
2.3102480052185421e-02 2.3456341634617298e-01 4.4096063217417752e-01 -1.4098791601302092e+00 -1.4098791601302092e+00 0.0000000000000000e+00
3.1566925355153747e-01 3.1090707778999430e-02 3.8650522668136850e-01 -1.5830088472621068e-01 -1.5830088472621068e-01 0.0000000000000000e+00
3.0353826116690874e-01 9.2077324872921126e-02 3.8650522668136850e-01 -5.0199758469489497e-01 -5.0199758469489497e-01 0.0000000000000000e+00
2.7974246363185373e-01 1.4952546200953518e-01 3.8650522668136850e-01 -8.5946500914004986e-01 -8.5946500914004986e-01 0.0000000000000000e+00
2.4519632010080761e-01 2.0122741949596792e-01 3.8650522668136850e-01 -1.1993607368251451e+00 -1.1993607368251451e+00 0.0000000000000000e+00
2.0122741949596792e-01 2.4519632010080761e-01 3.8650522668136850e-01 -1.4912477968088900e+00 -1.4912477968088900e+00 0.0000000000000000e+00
1.4952546200953520e-01 2.7974246363185373e-01 3.8650522668136850e-01 -1.7114747602592155e+00 -1.7114747602592155e+00 0.0000000000000000e+00
9.2077324872921126e-02 3.0353826116690880e-01 3.8650522668136850e-01 -1.8464876298467916e+00 -1.8464876298467916e+00 0.0000000000000000e+00
3.1090707778999482e-02 3.1566925355153741e-01 3.8650522668136850e-01 -1.8930165883156669e+00 -1.8930165883156671e+00 2.2204460492503131e-16
3.8464409837227320e-01 3.7884137041736328e-02 3.1719664208182274e-01 -1.8434449539063069e-01 -1.8434449539063066e-01 2.7755575615628914e-17
3.6986244138272223e-01 1.1219654498436386e-01 3.1719664208182274e-01 -5.9982460923194392e-01 -5.9982460923194403e-01 1.1102230246251565e-16
3.4086717819208007e-01 1.8219730262378964e-01 3.1719664208182274e-01 -1.0442418728718359e+00 -1.0442418728718359e+00 0.0000000000000000e+00
2.9877258050403210e-01 2.4519632010080761e-01 3.1719664208182274e-01 -1.4696656566736985e+00 -1.4696656566736985e+00 0.0000000000000000e+00
2.4519632010080761e-01 2.9877258050403210e-01 3.1719664208182274e-01 -1.8302814013867528e+00 -1.8302814013867528e+00 0.0000000000000000e+00
1.8219730262378969e-01 3.4086717819208001e-01 3.1719664208182274e-01 -2.0926550399753450e+00 -2.0926550399753454e+00 4.4408920985006262e-16
1.1219654498436386e-01 3.6986244138272228e-01 3.1719664208182274e-01 -2.2407847152922726e+00 -2.2407847152922731e+00 4.4408920985006262e-16
3.7884137041736390e-02 3.8464409837227320e-01 3.1719664208182274e-01 -2.2752112396855080e+00 -2.2752112396855080e+00 0.0000000000000000e+00
4.3883728620345797e-01 4.3221700163628113e-02 2.3569836841299890e-01 -2.0125654072043411e-01 -2.0125654072043414e-01 2.7755575615628914e-17
4.2197301539744442e-01 1.2800411479260479e-01 2.3569836841299890e-01 -6.7133422376802632e-01 -6.7133422376802632e-01 0.0000000000000000e+00
3.8889255825490054e-01 2.0786740307563628e-01 2.3569836841299890e-01 -1.1866028423675499e+00 -1.1866028423675501e+00 2.2204460492503131e-16
3.4086717819208001e-01 2.7974246363185373e-01 2.3569836841299890e-01 -1.6818817703914311e+00 -1.6818817703914311e+00 0.0000000000000000e+00
2.7974246363185373e-01 3.4086717819208001e-01 2.3569836841299890e-01 -2.0957750428582003e+00 -2.0957750428581998e+00 4.4408920985006262e-16
2.0786740307563636e-01 3.8889255825490049e-01 2.3569836841299890e-01 -2.3857784778689655e+00 -2.3857784778689655e+00 0.0000000000000000e+00
1.2800411479260479e-01 4.2197301539744447e-01 2.3569836841299890e-01 -2.5349345553894880e+00 -2.5349345553894875e+00 4.4408920985006262e-16
4.3221700163628182e-02 4.3883728620345791e-01 2.3569836841299890e-01 -2.5492969313321390e+00 -2.5492969313321394e+00 4.4408920985006262e-16
4.7616620322862935e-01 4.6898277587240383e-02 1.4514233862723117e-01 -2.1084663667303097e-01 -2.1084663667303094e-01 2.7755575615628914e-17
4.5786740307563634e-01 1.3889255825490054e-01 1.4514233862723117e-01 -7.1757976209075180e-01 -7.1757976209075169e-01 1.1102230246251565e-16
4.2197301539744453e-01 2.2554927580066897e-01 1.4514233862723117e-01 -1.2832410606102076e+00 -1.2832410606102078e+00 2.2204460492503131e-16
3.6986244138272228e-01 3.0353826116690880e-01 1.4514233862723117e-01 -1.8281729786289631e+00 -1.8281729786289636e+00 4.4408920985006262e-16
3.0353826116690880e-01 3.6986244138272228e-01 1.4514233862723117e-01 -2.2781456434914480e+00 -2.2781456434914480e+00 0.0000000000000000e+00
2.2554927580066905e-01 4.2197301539744447e-01 1.4514233862723117e-01 -2.5836620222418434e+00 -2.5836620222418434e+00 0.0000000000000000e+00
1.3889255825490054e-01 4.5786740307563639e-01 1.4514233862723117e-01 -2.7278059805426724e+00 -2.7278059805426724e+00 0.0000000000000000e+00
4.6898277587240460e-02 4.7616620322862929e-01 1.4514233862723117e-01 -2.7220149964162950e+00 -2.7220149964162954e+00 4.4408920985006262e-16
4.9519632010080761e-01 4.8772580504032062e-02 4.9008570164780385e-02 -2.1503885823929889e-01 -2.1503885823929889e-01 0.0000000000000000e+00
4.7616620322862924e-01 1.4444343859530448e-01 4.9008570164780385e-02 -7.4016839794758293e-01 -7.4016839794758305e-01 1.1102230246251565e-16
4.3883728620345797e-01 2.3456341634617298e-01 4.9008570164780385e-02 -1.3321045278019870e+00 -1.3321045278019867e+00 2.2204460492503131e-16
3.8464409837227320e-01 3.1566925355153741e-01 4.9008570164780385e-02 -1.9028899909950578e+00 -1.9028899909950578e+00 0.0000000000000000e+00
3.1566925355153741e-01 3.8464409837227320e-01 4.9008570164780385e-02 -2.3710194944545067e+00 -2.3710194944545067e+00 0.0000000000000000e+00
2.3456341634617306e-01 4.3883728620345791e-01 4.9008570164780385e-02 -2.6831900877184132e+00 -2.6831900877184127e+00 4.4408920985006262e-16
1.4444343859530448e-01 4.7616620322862929e-01 4.9008570164780385e-02 -2.8227750327243784e+00 -2.8227750327243784e+00 0.0000000000000000e+00
4.8772580504032145e-02 4.9519632010080755e-01 4.9008570164780385e-02 -2.8045216589219630e+00 -2.8045216589219630e+00 0.0000000000000000e+00
4.9008570164780302e-02 2.4076366639015569e-03 9.9879545620517241e-01 1.2033241735184108e-02 1.2033241735184112e-02 3.4694469519536142e-18
4.8536590843283836e-02 7.1997231344832187e-03 9.9879545620517241e-01 3.6057398361816206e-02 3.6057398361816206e-02 0.0000000000000000e+00
4.7597177619167048e-02 1.1922472335510791e-02 9.9879545620517241e-01 5.9828388034092524e-02 5.9828388034092517e-02 6.9388939039072284e-18
4.6199377555313705e-02 1.6530401610461053e-02 9.9879545620517241e-01 8.3109908617740813e-02 8.3109908617740813e-02 0.0000000000000000e+00
4.4356652230453937e-02 2.0979134081465862e-02 9.9879545620517241e-01 1.0566781093356772e-01 1.0566781093356772e-01 0.0000000000000000e+00
4.2086748096802289e-02 2.5225826022904893e-02 9.9879545620517241e-01 1.2727285441843206e-01 1.2727285441843206e-01 0.0000000000000000e+00
3.9411525572021641e-02 2.9229579469904138e-02 9.9879545620517241e-01 1.4770349507605124e-01 1.4770349507605124e-01 0.0000000000000000e+00
3.6356748511451015e-02 3.2951836088094717e-02 9.9879545620517241e-01 1.6674864565028039e-01 1.6674864565028039e-01 0.0000000000000000e+00
3.2951836088094717e-02 3.6356748511451015e-02 9.9879545620517241e-01 1.8421034741111422e-01 1.8421034741111422e-01 0.0000000000000000e+00
2.9229579469904145e-02 3.9411525572021634e-02 9.9879545620517241e-01 1.9990629524061693e-01 1.9990629524061695e-01 2.7755575615628914e-17
2.5225826022904893e-02 4.2086748096802289e-02 9.9879545620517241e-01 2.1367216257357591e-01 2.1367216257357591e-01 0.0000000000000000e+00
2.0979134081465869e-02 4.4356652230453937e-02 9.9879545620517241e-01 2.2536367974008636e-01 2.2536367974008636e-01 0.0000000000000000e+00
