# x y z neumann_error
4.8772580504032069e-02 4.8036798991923880e-03 4.9759236333609846e-01 2.5907033081307151e-09
4.6898277587240376e-02 1.4226436972985921e-02 4.9759236333609846e-01 1.0750280388105438e-09
4.3221700163628113e-02 2.3102480052185379e-02 4.9759236333609846e-01 1.3188486414072997e-10
3.7884137041736328e-02 3.1090707778999430e-02 4.9759236333609846e-01 1.0027913222021567e-09
3.1090707778999430e-02 3.7884137041736328e-02 4.9759236333609846e-01 1.5442292167211491e-09
2.3102480052185390e-02 4.3221700163628113e-02 4.9759236333609846e-01 1.7852420097774768e-09
1.4226436972985921e-02 4.6898277587240383e-02 4.9759236333609846e-01 1.7694017362401837e-09
4.8036798991923958e-03 4.8772580504032062e-02 4.9759236333609846e-01 1.5495491001438211e-09
1.4444343859530451e-01 1.4226436972985921e-02 4.7847016786610441e-01 6.7680957643867501e-09
1.3889255825490054e-01 4.2132596924363677e-02 4.7847016786610441e-01 1.1451912196314140e-09
1.2800411479260479e-01 6.8419624804170728e-02 4.7847016786610441e-01 2.0450490190171422e-09
1.1219654498436386e-01 9.2077324872921126e-02 4.7847016786610441e-01 3.4544928029234256e-09
9.2077324872921126e-02 1.1219654498436386e-01 4.7847016786610441e-01 3.5501263040416120e-09
6.8419624804170742e-02 1.2800411479260479e-01 4.7847016786610441e-01 2.6332824809571775e-09
4.2132596924363677e-02 1.3889255825490054e-01 4.7847016786610441e-01 8.3305229381380741e-10
1.4226436972985946e-02 1.4444343859530448e-01 4.7847016786610441e-01 1.8788439692940528e-09
2.3456341634617300e-01 2.3102480052185379e-02 4.4096063217417752e-01 6.0252398903504201e-09
2.2554927580066894e-01 6.8419624804170728e-02 4.4096063217417752e-01 1.1184437820332960e-09
2.0786740307563631e-01 1.1110744174509944e-01 4.4096063217417752e-01 4.1492564939460408e-09
1.8219730262378964e-01 1.4952546200953518e-01 4.4096063217417752e-01 4.6231835026944168e-09
1.4952546200953518e-01 1.8219730262378964e-01 4.4096063217417752e-01 3.6389740110109869e-09
1.1110744174509948e-01 2.0786740307563628e-01 4.4096063217417752e-01 1.8458408135302307e-09
6.8419624804170728e-02 2.2554927580066897e-01 4.4096063217417752e-01 6.4016747458595091e-10
