# x y z u
4.8518484463132498e-02 2.3835602972625413e-03 9.8880750164312070e-01 -3.1472521418433267e-04
4.8051224934850999e-02 7.1277259031383858e-03 9.8880750164312070e-01 1.3458777320150054e-02
4.7121205842975376e-02 1.1803247612155683e-02 9.8880750164312070e-01 2.7202334479571710e-02
4.5737383779760568e-02 1.6365097594356445e-02 9.8880750164312070e-01 4.0990653154848580e-02
4.3913085708149398e-02 2.0769342740651203e-02 9.8880750164312070e-01 5.4542466534752171e-02
4.1665880615834268e-02 2.4973567762675845e-02 9.8880750164312070e-01 6.7376203410432697e-02
3.9017410316301425e-02 2.8937283675205098e-02 9.8880750164312070e-01 7.9180744468784550e-02
3.5993181026336502e-02 3.2622317727213766e-02 9.8880750164312070e-01 9.0010494782366363e-02
3.2622317727213766e-02 3.5993181026336502e-02 9.8880750164312070e-01 1.0009903604284121e-01
2.8937283675205101e-02 3.9017410316301418e-02 9.8880750164312070e-01 1.0949077176005936e-01
2.4973567762675845e-02 4.1665880615834268e-02 9.8880750164312070e-01 1.1788285123512028e-01
2.0769342740651210e-02 4.3913085708149398e-02 9.8880750164312070e-01 1.2484640400371215e-01
1.6365097594356445e-02 4.5737383779760568e-02 9.8880750164312070e-01 1.3019374398164513e-01
1.1803247612155688e-02 4.7121205842975376e-02 9.8880750164312070e-01 1.3410264676390668e-01
7.1277259031383858e-03 4.8051224934850999e-02 9.8880750164312070e-01 1.3686753346314917e-01
2.3835602972625469e-03 4.8518484463132498e-02 9.8880750164312070e-01 1.3854024910271764e-01
1.4508819386111599e-01 7.1277259031383867e-03 9.7928474486513317e-01 1.3309234073390665e-02
1.4369091524095887e-01 2.1314533812556612e-02 9.7928474486513317e-01 5.5459958115011657e-02
1.4090981455758694e-01 3.5296071109650509e-02 9.7928474486513317e-01 9.7720275774992274e-02
1.3677167533088536e-01 4.8937687947163334e-02 9.7928474486513317e-01 1.3918453755694474e-01
1.3131635010374423e-01 6.2108008097683493e-02 9.7928474486513317e-01 1.7973943901216960e-01
1.2459637664028508e-01 7.4680194178532139e-02 9.7928474486513317e-01 2.1865080405688606e-01
1.1667647195847219e-01 8.6533169165094723e-02 9.7928474486513317e-01 2.5570486888264077e-01
1.0763290906985169e-01 9.7552782428755355e-02 9.7928474486513317e-01 2.9025176729994545e-01
9.7552782428755355e-02 1.0763290906985169e-01 9.7928474486513317e-01 3.2210865272139294e-01
8.6533169165094737e-02 1.1667647195847218e-01 9.7928474486513317e-01 3.5064915030942950e-01
7.4680194178532139e-02 1.2459637664028508e-01 9.7928474486513317e-01 3.7584467440947533e-01
6.2108008097683506e-02 1.3131635010374423e-01 9.7928474486513317e-01 3.9701103519385744e-01
4.8937687947163334e-02 1.3677167533088536e-01 9.7928474486513317e-01 4.1442513074391479e-01
3.5296071109650530e-02 1.4090981455758694e-01 9.7928474486513317e-01 4.2719574875259236e-01
2.1314533812556612e-02 1.4369091524095887e-01 9.7928474486513317e-01 4.3613674011509734e-01
7.1277259031384023e-03 1.4508819386111599e-01 9.7928474486513317e-01 4.3985383009293033e-01
2.4026062463894235e-01 1.1803247612155683e-02 9.6033094066259850e-01 2.6694682496471025e-02
2.3794678348385193e-01 3.5296071109650509e-02 9.6033094066259850e-01 9.6570278173016819e-02
2.3334138472886881e-01 5.8448974147564253e-02 9.6033094066259850e-01 1.6681152339062111e-01
2.2648878088157059e-01 8.1038981612977568e-02 9.6033094066259850e-01 2.3654805837538800e-01
2.1745496626302102e-01 1.0284853938504428e-01 9.6033094066259850e-01 3.0490654121662036e-01
2.0632694144638217e-01 1.2366760950010235e-01 9.6033094066259850e-01 3.7099800347467327e-01
1.9321187539383536e-01 1.4329569293208241e-01 9.6033094066259850e-01 4.3394439453430295e-01
1.7823607336089106e-01 1.6154376050773261e-01 9.6033094066259850e-01 4.9290133963259786e-01
1.6154376050773261e-01 1.7823607336089106e-01 9.6033094066259850e-01 5.4707945735742414e-01
1.4329569293208244e-01 1.9321187539383533e-01 9.6033094066259850e-01 5.9576286217626029e-01
1.2366760950010235e-01 2.0632694144638217e-01 9.6033094066259850e-01 6.3832412901190139e-01
1.0284853938504430e-01 2.1745496626302102e-01 9.6033094066259850e-01 6.7423528200527050e-01
8.1038981612977568e-02 2.2648878088157059e-01 9.6033094066259850e-01 7.0307482983327074e-01
5.8448974147564281e-02 2.3334138472886881e-01 9.6033094066259850e-01 7.2452963560521022e-01
3.5296071109650509e-02 2.3794678348385193e-01 9.6033094066259850e-01 7.3840803292175983e-01
1.1803247612155711e-02 2.4026062463894235e-01 9.6033094066259850e-01 7.4448296489902988e-01
3.3311921426167834e-01 1.6365097594356445e-02 9.3212862453119061e-01 3.9073322708213697e-02
3.2991109412685232e-01 4.8937687947163334e-02 9.3212862453119061e-01 1.3566359213113058e-01
3.2352574980783561e-01 8.1038981612977568e-02 9.3212862453119061e-01 2.3332670245853188e-01
3.1402467566100456e-01 1.1235982558544520e-01 9.3212862453119061e-01 3.3104704830561416e-01
3.0149937222420853e-01 1.4259858301539644e-01 9.3212862453119061e-01 4.2740106630279051e-01
2.8607046501657135e-01 1.7146403813859454e-01 9.3212862453119061e-01 5.2092805342947990e-01
2.6788654284880103e-01 1.9867820084274029e-01 9.3212862453119061e-01 6.1018217474688052e-01
2.4712272683171632e-01 2.2397898386421808e-01 9.3212862453119061e-01 6.9378298045653042e-01
2.2397898386421808e-01 2.4712272683171632e-01 9.3212862453119061e-01 7.7045987804664962e-01
1.9867820084274032e-01 2.6788654284880098e-01 9.3212862453119061e-01 8.3908822263724592e-01
1.7146403813859454e-01 2.8607046501657135e-01 9.3212862453119061e-01 8.9871562238071090e-01
1.4259858301539646e-01 3.0149937222420853e-01 9.3212862453119061e-01 9.4857797776289410e-01
1.1235982558544520e-01 3.1402467566100456e-01 9.3212862453119061e-01 9.8810561274473885e-01
8.1038981612977595e-02 3.2352574980783561e-01 9.3212862453119061e-01 1.0169205890293673e+00
4.8937687947163334e-02 3.2991109412685232e-01 9.3212862453119061e-01 1.0348197605001039e+00
1.6365097594356483e-02 3.3311921426167834e-01 9.3212862453119061e-01 1.0434735437622089e+00
4.2276968374958829e-01 2.0769342740651203e-02 8.9494940019220892e-01 5.0916294372503453e-02
4.1869818058566199e-01 6.2108008097683493e-02 8.9494940019220892e-01 1.7179310136088274e-01
4.1059438505898799e-01 1.0284853938504426e-01 8.9494940019220892e-01 2.9574010651429761e-01
3.9853634115047354e-01 1.4259858301539644e-01 8.9494940019220892e-01 4.2080759975897619e-01
3.8264017441455478e-01 1.8097532433899546e-01 8.9494940019220892e-01 5.4486453443266269e-01
3.6305897362662742e-01 2.1760917435803431e-01 8.9494940019220892e-01 6.6570387777421491e-01
3.3998131645445223e-01 2.5214732907073023e-01 8.9494940019220892e-01 7.8114695183208005e-01
3.1362945335212805e-01 2.8425716716672389e-01 8.9494940019220892e-01 8.8913817272380602e-01
2.8425716716672389e-01 3.1362945335212805e-01 8.9494940019220892e-01 9.8782422159774030e-01
2.5214732907073029e-01 3.3998131645445223e-01 8.9494940019220892e-01 1.0756138943777740e+00
2.1760917435803431e-01 3.6305897362662742e-01 8.9494940019220892e-01 1.1512169311145728e+00
1.8097532433899552e-01 3.8264017441455478e-01 8.9494940019220892e-01 1.2136620173400301e+00
1.4259858301539644e-01 3.9853634115047354e-01 8.9494940019220892e-01 1.2622957006998228e+00
1.0284853938504432e-01 4.1059438505898799e-01 8.9494940019220892e-01 1.2967650740675247e+00
6.2108008097683493e-02 4.1869818058566199e-01 8.9494940019220892e-01 1.3169878108069133e+00
2.0769342740651252e-02 4.2276968374958829e-01 8.9494940019220892e-01 1.3231135003447185e+00
5.0834865007357188e-01 2.4973567762675845e-02 8.4915132390026937e-01 6.0954880080717935e-02
5.0345297468172390e-01 7.4680194178532139e-02 8.4915132390026937e-01 2.0425119017775392e-01
4.9370877192829982e-01 1.2366760950010233e-01 8.4915132390026937e-01 3.5299041769904776e-01
4.7920988381253821e-01 1.7146403813859451e-01 8.4915132390026937e-01 5.0445442478480684e-01
4.6009594255289232e-01 2.1760917435803431e-01 8.4915132390026937e-01 6.5560843419809756e-01
4.3655102585243571e-01 2.6165861527113110e-01 8.4915132390026937e-01 8.0329468885492838e-01
4.0880188412995438e-01 3.0318814068201799e-01 8.4915132390026937e-01 9.4441568941719778e-01
3.7711575678945986e-01 3.4179779855864012e-01 8.4915132390026937e-01 1.0760926224521528e+00
3.4179779855864012e-01 3.7711575678945986e-01 8.4915132390026937e-01 1.1957907001922372e+00
3.0318814068201805e-01 4.0880188412995433e-01 8.4915132390026937e-01 1.3014071178838655e+00
2.6165861527113110e-01 4.3655102585243571e-01 8.4915132390026937e-01 1.3913208893917033e+00
2.1760917435803437e-01 4.6009594255289232e-01 8.4915132390026937e-01 1.4644069940415907e+00
